file, ra, dec, redshift,survey, dropped, continuum, classification, delta_BIC, outflow, fit_fail, hit_limit, nburst_file, error message
desiSp1d_209-thru20210428-1948.fits, 216.76922800708712, 34.69933855274084, 0.35803150798866706, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_203-thru20210412-1255.fits, 217.0572536959148, 33.94068454967859, 0.1319240029088106, desi, 0, 1, 0, 47.83474469276098, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/nl_/nbursts_desi_203_20210412_1255.fits, 
desiSp1d_203-thru20210412-1515.fits, 217.7595389858276, 34.33283107101922, 0.17535052721466618, desi, 0, 1, 0, 16.055784871046853, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/nl_/nbursts_desi_203_20210412_1515.fits, 
desiSp1d_2202-thru20210516-652.fits, 217.7749860531677, 32.50311352909454, 0.14385223642647757, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
desiSp1d_211-thru20210501-3440.fits, 218.2520924970549, 34.613744670312954, 0.15140877959279045, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] no NBURSTS file found. Searched for []
spec-015325-59345-7575038621.fits, 218.26085658562783, 34.28959913431007, 0.007898172363638878, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-1327-52781-0377.fits, 218.2939833095188, 52.975147424087325, 0.047589387744665146, sdss, 0, 1, 1, 308.7533627460564, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/bl_/nbursts_sdss_01327_52781_00377.fits, 
desiSp1d_209-thru20210428-4940.fits, 218.87535118251844, 33.72660810419254, 0.2747994396139859, desi, 0, 1, 0, 39.19378805068072, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_209_20210428_4940.fits, 
desiSp1d_10499-thru20220425-2117.fits, 223.87179727944653, 4.841144048347327, 0.1531139369907619, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
desiSp1d_20778-thru20210618-4532.fits, 224.2783141835148, 49.66900178069154, 0.013627744808254015, desi, 0, 1, 1, 0.9201391023652832, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_20778_20210618_4532.fits, 
