file,classification,fit flag
../../pro/SDSS_BOSS/scripttest/400/nbursts_sdss_00400_51820_00440.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/6322/nbursts_sdss_06322_56190_00120.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/15022/nbursts_sdss_15022_59165_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2776/nbursts_sdss_02776_54554_00109.fits,broad,False
../../pro/SDSS_BOSS/scripttest/4481/nbursts_sdss_04481_55630_00316.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2120/nbursts_sdss_02120_53852_00362.fits,broad,False
../../pro/SDSS_BOSS/scripttest/15082/nbursts_sdss_15082_59215_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5351/nbursts_sdss_05351_55952_00746.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/692/nbursts_sdss_00692_52201_00084.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15049/nbursts_sdss_15049_59193_00000.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2173/nbursts_sdss_02173_53874_00192.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2173/nbursts_sdss_02173_53874_00292.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1392/nbursts_sdss_01392_52822_00439.fits,broad,False
../../pro/SDSS_BOSS/scripttest/5190/nbursts_sdss_05190_56077_00486.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2187/nbursts_sdss_02187_54270_00134.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/100393/nbursts_sdss_100393_60040_27021597919202767.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/100393/nbursts_sdss_100393_60040_27021597919195222.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/101241/nbursts_sdss_101241_59976_27021598151408287.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/695/nbursts_sdss_00695_52202_00483.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/7053/nbursts_sdss_07053_56564_00946.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1734/nbursts_sdss_01734_53034_00469.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/15047/nbursts_sdss_15047_59230_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15047/nbursts_sdss_15047_59228_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/101283/nbursts_sdss_101283_59955_27021598150223417.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1165/nbursts_sdss_01165_52703_00371.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1165/nbursts_sdss_01165_52703_00372.fits,broad,True
../../pro/SDSS_BOSS/scripttest/4241/nbursts_sdss_04241_55450_00048.fits,broad,True
../../pro/SDSS_BOSS/scripttest/100993/nbursts_sdss_100993_59840_27021598872247733.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/6186/nbursts_sdss_06186_56246_00264.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/100356/nbursts_sdss_100356_60070_27021597910551030.fits,narrow,True
